user_id,track_name,rating
778,mohabbat bhi jhoothi,5
274,i believe,2
667,cry,2
271,patricia,2
268,apopse eida oneiro,3
128,round and round (with mitchell ayres and his orchestra & the ray charles singers),2
889,opm medley: when i met you,1
882,it's not for me to say,3
24,klapse me mana klapse me,4
654,finito la mouzika,3
144,"drømmer man om den, vågner..",1
426,carolina moon,4
377,necessary evil,1
192,kanugona galano,3
455,the carioca,1
961,chicken reel,4
164,blue skies,2
131,dark eyes,5
657,kotha mukunda,5
401,awaz deta hai sola ka din,4
658,jahan men log sachhe ashikon ko,5
715,avanee nee pathi,1
6,ee jagamantha natika,3
792,smoke rings,1
949,hum tujhse mohabbat kar ke,3
752,paas nahin aaiye haath na lagaiye,5
488,main na janoon,4
315,gullyachi shapath,1
529,judai ki khabar hoti agar,5
529,maagata maagata janm gele,5
527,chupke chupke (from ''paying guest''),4
317,chahe kitna mujhe tum bulao ji,4
819,tu bol na bol,1
378,raat andheri door savera,1
510,thunintha pin,3
213,i'm sitting on top of the world,2
124,the world is waiting for the sunrise,2
698,ethanai periya,2
293,ansoo to nahin hai ankhon men,1
118,it's the most wonderful time of the year,4
392,chandan ka palna resham ko dori,3
258,le chal ri nindiya le chal hamen,2
423,after you've gone,2
931,mere hamsafar tujhe kya khabar,5
46,viljen i veta (would you like to know?),2
950,blue velvet,3
225,poema,3
49,the bells of st. mary's,2
436,for me and my gal,1
297,mark twain,2
679,the next big river,3
123,sitaron ki mehfil saji,2
36,gopiparivrito,2
272,you're the cream in my coffee,1
98,kabhi khamosh rahte hain,4
127,khanke to khanke,1
991,here am i,4
8,brazil,1
883,"baby, won't you please come home",3
250,jezebel,4
506,two hound dogs,5
381,sleep,4
577,mera dil yeh pukare aaja,5
614,to you my love,2
207,believe in me,2
479,take the “a” train,1
415,pahuni raghunandan savala,3
596,come rock with me,4
840,antar mantar jantar,3
411,kahan se yeh sholon ka toofan aaya,4
300,temptation,1
79,unchained melody,1
65,on my word of honor,3
140,just my imagination (running away with me),5
101,don't you know i love you,3
312,"love, your magic spell is everywhere",3
887,heart of stone,2
108,have mercy,5
800,you've changed,5
29,i do adore her,5
647,"ciao, ciao, bambina",1
705,non dimenticar,4
210,al di la,1
812,matilda,3
87,devil or angel,1
936,hosanna,5
32,volare (nel blu dipinto di blu),1
337,why should i,5
174,in other words (fly me to the moon),2
157,i'll never be free,3
532,remember when,2
633,love love love,5
701,it might as well be spring,1
420,at your beck and call,3
650,september in the rain,1
115,i give you my word,4
634,more,5
309,summertime in venice,2
722,here goes a fool,5
369,chinna kelbyaadve nanna ppuraana,2
466,remember me (the girl in the wood),2
825,blood beach,1
242,am i blue?,5
536,don't ever love me,1
